=== DANH SACH 455 XA CHUA MATCH (FINAL) ===
TINH/THANH           | QUAN/HUYEN           | XA (Cafeland)                            | ID
Thanh Hóa            | Quảng Xương          | Tiên Trang                               | 21042
Thanh Hóa            | Quảng Xương          | Tiên Trang                               | 21043
Thanh Hóa            | Quảng Xương          | TT. Tân Phong                            | 21041
Thanh Hóa            | Thanh Hóa            | An Hưng                                  | 20977
Thanh Hóa            | Thanh Hóa            | Long Anh                                 | 20979
Thanh Hóa            | Thiệu Hóa            | Minh Tâm                                 | 21050
Thanh Hóa            | Thiệu Hóa            | Tân Châu                                 | 21049
Thanh Hóa            | Thọ Xuân             | Thuận Minh                               | 21057
Thanh Hóa            | Thọ Xuân             | Thuận Minh                               | 21058
Thanh Hóa            | Thọ Xuân             | Trường Xuân                              | 21055
Thanh Hóa            | Thường Xuân          | Xuân Khao                                | 9459
Thanh Hóa            | Thường Xuân          | Xuân Mỹ                                  | 9463
Thanh Hóa            | Triệu Sơn            | Giắt                                     | 9538
Thanh Hóa            | Triệu Sơn            | TT. Nưa                                  | 21063
Thừa Thiên Huế       | A Lưới               | Hồng Nam                                 | 10106
Thừa Thiên Huế       | A Lưới               | Lâm Đớt                                  | 21294
Thừa Thiên Huế       | A Lưới               | Quảng Nhâm                               | 21295
Thừa Thiên Huế       | A Lưới               | Trung Sơn                                | 21296
Thừa Thiên Huế       | Huế                  | Đông Ba                                  | 21288
Thừa Thiên Huế       | Huế                  | Gia Hội                                  | 21289
Thừa Thiên Huế       | Huế                  | P. Hải Dương                             | 10159
Thừa Thiên Huế       | Huế                  | Vỹ Dạ                                    | 10143
Thừa Thiên Huế       | Phú Lộc              | Giang Hải                                | 21325
Thừa Thiên Huế       | Phú Vang             | Phú Gia                                  | 21347
Trà Vinh             | Càng Long            | Ðức Mỹ                                   | 10423
Tuyên Quang          | Na Hang              | Thúy Loa                                 | 10566
Tuyên Quang          | Na Hang              | Trùng Khánh                              | 10567
Tuyên Quang          | Na Hang              | Vĩnh Yên                                 | 10568
Tuyên Quang          | Na Hang              | Xuân Tân                                 | 10570
Tuyên Quang          | Na Hang              | Xuân Tiến                                | 10571
Tuyên Quang          | Sơn Dương            | Trường Sinh                              | 20848
Tuyên Quang          | Tuyên Quang          | Mỹ Lâm                                   | 20825
Tuyên Quang          | Yên Sơn              | Tháng Mười                               | 10640
Tuyên Quang          | Yên Sơn              | TT. Yên Sơn                              | 20857
Yên Bái              | Lục Yên              | Xuân Minh                                | 1501
Yên Bái              | Nghĩa Lộ             | Nông Trường Nghĩa Lộ                     | 1564
Yên Bái              | Văn Chấn             | Nông Trường Liên Sơn                     | 1563
Yên Bái              | Văn Chấn             | Nông Trường Trần Phú                     | 1565
